//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight        itemCost
Fussy 9L Bucket Lid                                PP4                                                79            gm
Fussy 9L Bucket Only                               PP4                                                228           gm
Fussy 9L Handle                                    PP4                                                21            gm
Fussy Biscuit Barrel Base Midi                     PP1                                                86            gm
Fussy Biscuit Barrel Base Midi                     PP5                                                86            gm
Fussy Biscuit Barrel Base Midi                     PP6                                                78,62         gm
Fussy Biscuit Barrel Lid Midi                      PP1                                                44            gm
Fussy Biscuit Barrel Lid Midi                      PP5                                                46            gm
Fussy Biscuit Barrel Lid Midi                      PP6                                                41            gm
Fussy Biscuit Barrel Mini Base                     PP6                                                52            gm
Fussy Biscuit Barrel Mini Lid                      PP5                                                28            gm
Fussy Biscuit Barrel Mini Lid                      PP6                                                31,5          gm
Fussy Bottle Hinged Lunch Box Base                 PP2                                                166           gm
Fussy Bread Box Base                               PP2                                                204           gm
Fussy Bread Box Top                                PP1                                                239           gm
Fussy Bread Box Top                                PP5                                                239           gm
Fussy Bread Box Top                                PP6                                                245           gm
Fussy Cereal Base Large                            PP6                                                166,6         gm
Fussy Cereal Base Medium                           PP6                                                104           gm
Fussy Cereal Base Small                            PP6                                                84,5          gm
Fussy Cereal Lid Flap                              PP2                                                12,5          gm
Fussy Cereal Lid Flap                              PP6                                                13,5          gm
Fussy Cereal Lid Main                              PP4                                                44            gm
Fussy Cereal Lid Main                              PP6                                                44            gm
Fussy Decor 1.4L Rectangular Base                  PP6                                                93            gm
Fussy Decor 2.25L Rectangular Base                 PP6                                                115           gm
Fussy Decor 2.5L Slim Base                         PP6                                                105,5         gm
Fussy Decor 3.6L Rectangular Base                  PP6                                                159           gm
Fussy Decor 4L Base                                PP6                                                134           gm
Fussy Decor 6L Base                                PP6                                                213,5         gm
Fussy Decor 6L Inner Server                        PP4                                                83            gm
Fussy Decor 6L Lid                                 PP6                                                100,5         gm
Fussy Decor Rectangular Lid                        PP6                                                60            gm
Fussy Decore 1L Bottle                             HD0002                                             80            gm
Fussy Deep Plates                                  PP0001                                             69            gm
Fussy Deep Plates                                  PP001                                              67,5          gm
Fussy Deep Plates                                  PP2                                                65            gm
Fussy Deep Plates                                  PP3                                                65            gm
Fussy Dessert Spoons 24                            GP0001                                             55            gm
Fussy Dessert Spoons 24                            PP4                                                55            gm
Fussy Dishrack                                     PP4                                                564           gm
Fussy Dishrack                                     PP7                                                560           gm
Fussy Dustpan Large                                PP0001                                             140           gm
Fussy Dustpan Large                                PP6                                                140           gm
Fussy Hangers                                      PP2                                                33,5          gm
Fussy Hinge Lunch Box                              PP2                                                103           gm
Fussy Hinge Lunch Box                              PP3                                                104           gm
Fussy Hinge Lunch Box                              PP5                                                105           gm
Fussy Juice Bottle Cap Only                        HD0001                                             2             gm
Fussy Juice Bottle Cap Only                        PP4                                                2             gm
Fussy Jumbo Lunch Box                              PP6                                                130,5         gm
Fussy Laundry Basket                               PP4                                                414           gm
Fussy Linen Basket Base                            PP4                                                1656          gm
Fussy Linen Basket Handle                          PP3                                                24            gm
Fussy Linen Basket Lid                             PP3                                                284           gm
Fussy Mini Hinged Lunch Box                        PP3                                                76            gm
Fussy Mini Hinged Lunch Box                        PP4                                                76            gm
Fussy Mini Lid                                     LD1                                                20            gm
Fussy Mini Oval Tub                                PP001                                              318           gm
Fussy Mini Oval Tub                                PP2                                                320           gm
Fussy Mini Oval Tub                                PP3                                                324           gm
Fussy Multi Storer Base Large                      PP4                                                211           gm
Fussy Multi Storer Base Medium                     PP4                                                165           gm
Fussy Multi Storer Base Mini                       PP6                                                33            gm
Fussy Multi Storer Base Small                      PP4                                                118           gm
Fussy Multi Storer Base Small                      PP5                                                120           gm
Fussy Multi Storer Base Small                      PP8                                                120           gm
Fussy Multi Storer Lid Large                       PP6                                                181           gm
Fussy Multi Storer Lid Medium                      PP6                                                101,5         gm
Fussy Multi Storer Lid Mini                        PP6                                                32            gm
Fussy Multi Storer Lid Small                       PP1                                                90            gm
Fussy Multi Storer Lid Small                       PP5                                                90            gm
Fussy Multi Storer Lid Small                       PP6                                                91            gm
Fussy New Big Hinge Clip                           PP2                                                8             gm
Fussy New Mini Lunch Base                          PP2                                                58            gm
Fussy New Mini Lunch Lid                           PP6                                                30            gm
Fussy New Spice Base                               PP2                                                35,75         gm
Fussy New Spice Base                               PP4                                                40            gm
Fussy New Spice Base                               PP5                                                40            gm
Fussy New Spice Lid                                PP2                                                23,25         gm
Fussy New Spice Lid                                PP3                                                22,75         gm
Fussy New Spice Lid                                PP4                                                25            gm
Fussy New Spice Lid                                PP5                                                23            gm
Fussy Oval  Veg Rack                               PP001                                              189,5         gm
Fussy Oval  Veg Rack                               PP3                                                186           gm
Fussy Oval Trays                                   PP4                                                247           gm
Fussy Oval Trays                                   PP7                                                266,5         gm
Fussy Salad Bowl Base                              PP2                                                289           gm
Fussy Salad Bowl Lid                               PP2                                                159           gm
Fussy Shoe Bix Lid                                 PP6                                                87            gm
Fussy Shoe Box Base                                PP6                                                190           gm
Fussy Slim Hinged Lunch Box Base                   PP1                                                102           gm
Fussy Slim Hinged Lunch Box Base                   PP5                                                92            gm
Fussy Slim Hinged Lunch Box Base                   PP6                                                95,5          gm
Fussy Snack Box Base                               PP2                                                83,27         gm
Fussy Snack Box Lid                                LD1                                                43            gm
Fussy Space Saver Base 1000ml                      PP6                                                44            gm
Fussy Space Saver Lid 1000ml                       PP5                                                30            gm
Fussy Spice Bowl & Lid                             PP4                                                64            gm
Fussy Storage Box Base 1.2L                        PP6                                                86            gm
Fussy Storage Box Base 1.7L                        PP6                                                83,3          gm
Fussy Storage Box Base 1.9L                        PP6                                                86            gm
Fussy Storage Box Base 30L                         PP6                                                1077          gm
Fussy Storage Box Base 50L                         PP6                                                1546          gm
Fussy Storage Box Handles 1.2L/1.7L/1.9L           PP001                                              4,375         gm
Fussy Storage Box Handles 1.2L/1.7L/1.9L           PP2                                                4,5           gm
Fussy Storage Box Handles 1.2L/1.7L/1.9L           PP6                                                4             gm
Fussy Storage Box Handles 30/50L                   PP2                                                11            gm
Fussy Storage Box Lid 1.2/1.9L                     PP6                                                25,6          gm
Fussy Storage Box Lid 1.7L                         PP6                                                44,5          gm
Fussy Storage Box Lid 30/50L                       PP6                                                472           gm
Fussy Storage Box Wheels 30/50L                    PP2                                                4             gm
Fussy Storage Box Wheels 30/50L                    PP5                                                4,1           gm
Fussy Super Storer Base Large                      PP6                                                149           gm
Fussy Super Storer Base Medium                     PP1                                                99            gm
Fussy Super Storer Base Medium                     PP6                                                93,5          gm
Fussy Super Storer Base Small                      PP6                                                57            gm
Fussy Super Storer Lid Large                       LD1                                                74            gm
Fussy Super Storer Lid Medium                      LD1                                                56            gm
Fussy Super Storer Lid Small                       LD1                                                43,6          gm
Fussy T/C/S Base                                   PP2                                                64            gm
Fussy T/C/S Base                                   PP5                                                64            gm
Fussy T/C/S Lid                                    PP2                                                26            gm
Fussy Tumblers                                     PP2                                                20            gm
Fussy Twin Slice Lunch Box Base                    PP6                                                35            gm
Fussy Twin Slice Lunch Box Lid                     PP6                                                28,26         gm
Fussy Veg Rack Black Tubes                         HD004                                              13            gm
Fussy Veg Rack Black Tubes                         PP001                                              13            gm
Fussy Veg Rack Black Tubes                         PP2                                                13            gm
Fussy Veg Rack Long Tubes                          PP2                                                37            gm
Fussy Veg Rack NEW Long Tubes                      PP001                                              32,88         gm
Fussy Veg Rack NEW Long Tubes                      PP3                                                33            gm
Fussy Veg Rack Sqaure                              PP001                                              371           gm
Fussy Veg Rack Sqaure                              PP2                                                369           gm
Fussy Veg Rack Sqaure                              PP3                                                370           gm
Fussy Veg Rack Tops (8cav)                         PP001                                              36            gm
Fussy Veg Rack Tops (8cav)                         PP2                                                36            gm
Fussy Veg Rack Tops (8cav)                         PP3                                                36            gm
Internal Airvents                                  PP4                                                40,5          gm
Jet Dumbell Runners 20/shot                        HD0001                                             17            gm
Jet R5 Hooks 24/shot                               ACE01                                              20            gm
Mega 220L Drum Lid - VAN GUARD                     PPMEGA01                                           1535          gm
Mono C Runners                                     HD0001                                             24            gm
Munch Mate Base 1500ml                             PP5                                                58            gm
Munch Mate Base 1500ml                             PP6                                                54,12         gm
Munch Mate Base 500ml                              PP5                                                24            gm
Munch Mate Base 500ml                              PP6                                                24            gm
Munch Mate Base 800ml                              PP6                                                36            gm
Munch Mate Division Base 1500ml                    PP5                                                61            gm
Munch Mate Lid 1500ml                              PP2                                                38            gm
Munch Mate Lid 1500ml                              PP6                                                37,9          gm
Munch Mate Lid 500ml                               PP6                                                14,97         gm
Munch Mate Lid 800ml                               PP6                                                23            gm
Nylon Bush - Ismine                                NYLON6                                             53            gm
POSTER FRAME                                       PP7                                                567           gm
POSTER FRAME BACK CLIPS (10CAV)                    ACE01                                              41            gm
POSTER SIDE CLIPS (SET OF 5)                       PP7                                                74            gm
Rama Base - Crystal Styrene                        GP0001                                             63,5          gm
Rama Base - Crystal Styrene                        PP2                                                52            gm
Rama Lid - Crystal Styrene                         PP0004                                             31            gm
Rama Lid - Crystal Styrene                         PP6                                                31            gm
Spectrum 2L Square Base                            PP5                                                74            gm
Spectrum 2L Square Base                            PP6                                                76,4          gm
Spectum 2L Square Lid                              PP5                                                72,7          gm
Spectum 2L Square Lid                              PP6                                                72,7          gm
Spectum 2L Square Lid                              R001                                               72,7          gm
Unilever Caddy                                     PP001                                              59            gm
Unilever Caddy                                     PP2                                                59            gm

(270 rows affected)

=== Workcenter ===
//For anything Workcenter realted later it will have to use the name to link back and get the ID
PXID                                               name                                               Process                                            Description
-------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------------------------------------
01                                                 MOLD                                               MOLD                                               MOLD

(1 row affected)

=== Station ===
//For anything Station realted later it will have to use the name to link back and get the ID
PXID                                               name                                               standardCycle currentJob                                         slowDetect    downtimeDetect inLineCalculations ProcessType
-------------------------------------------------- -------------------------------------------------- ------------- -------------------------------------------------- ------------- -------------- ------------------ --------------------------------------------------
01                                                 ARB-35                                             17            OFVEG03                                            0,1           600            1                  MOLD
01                                                 BL MOULD                                           20            OFJBO1                                             0,1           600            1                  MOLD
01                                                 BOLE                                               18            OFLBB001                                           0,1           600            1                  MOLD
01                                                 E-110                                              18            TRIAL                                              0,1           600            0                  MOLD
01                                                 GS1-140                                            40            TRIAL                                              0,1           600            0                  MOLD
01                                                 GS2-140                                            NULL          OFMM0021                                           0,1           600            0                  MOLD
01                                                 J-180                                              20            OFBB001                                            0,1           600            1                  MOLD
01                                                 J-220                                              16            POS003                                             0,1           600            1                  MOLD
01                                                 J-450                                              40            OFSBL01                                            0,1           600            1                  MOLD
01                                                 J-650                                              90            OFSBB01                                            0,1           600            1                  MOLD
01                                                 J220-ADS                                           17            OFBB002                                            0,1           600            1                  MOLD
01                                                 JSW-110                                            NULL          MOLD1                                              0,1           600            0                  MOLD
01                                                 TS-170                                             18            OFLBL001                                           0,1           600            1                  MOLD

(13 rows affected)

=== Tool ===
//For anything Tool realted later it will have to use the name to link back and get the ID
Name                                               pmLimit     pmWarn      pmCount
-------------------------------------------------- ----------- ----------- -----------
CAP001                                             20000       18000       0
CUS0001                                            20000       18000       0
CUS0002                                            20000       18000       0
CUS0004                                            20000       18000       0
CUS00041                                           500000      480000      2452
CUS00042                                           20000       18000       865
CUS0005                                            200000      180000      1407
CUS0006                                            200000      180000      10743
CUS0007                                            200000      180000      1820
CUS0008                                            200000      180000      33845
CUS0009                                            200000      180000      749984
CUS003                                             20000       18000       13548
CUS004                                             20000       18000       1935
CUSC001                                            500000      450000      94021
CUSC002                                            500000      480000      11602
CUSC003                                            500000      480000      9177
CUSNY001                                           200000      180000      9506
CUSNY002                                           500000      480000      7971
CUSP001                                            500000      500000      222174
CUSP002                                            500000      500000      21640
CUSP003                                            200000      180000      35455
CUSP004                                            200000      180000      6417
CUSSH1                                             200000      180000      47516
CUSSH2                                             200000      180000      46056
CUSSH22                                            200000      180000      13188
CUSSH3                                             200000      180000      23525
CUSSOL01                                           200000      180000      757372
CUSSOL02                                           480000      500000      283099
CUSSOL03                                           480000      500000      133899
FO751                                              20000       18000       2
GUT01                                              20000       18000       0
JAR001                                             20000       18000       0
MEG0006                                            100000      95000       67012
MEG005                                             20000       18000       11
MEG006                                             20000       18000       9554
MEG007                                             20000       18000       0
MEGA0001                                           20000       18000       2
MEGA0002                                           20000       18000       0
MEGA0003                                           20000       18000       0
MEGA0004                                           20000       18000       10469
MEGA0005                                           20000       18000       0
NO MOLD                                            0           0           0
O10LSB01                                           20000       18000       19139
O10LSBH01                                          20000       18000       9608
O10LSBL01                                          200000      180000      11513
O20LSB01                                           200000      180000      24059
O20LSH01                                           20000       18000       13271
O20LSL01                                           20000       18000       20489
O5LSB01                                            200000      180000      18353
O5LSBH01                                           20000       18000       11718
O5LSBL01                                           200000      180000      15978
OCUS001                                            20000       18000       0
OF11LB01                                           20000       18000       2
OF11LH01                                           20000       18000       0
OF11LL01                                           20000       18000       0
OF1LBB01                                           20000       18000       6
OF1LBH01                                           20000       18000       4
OF1LBL01                                           20000       18000       3
OF1LJB                                             20000       18000       678892
OF1LJB1                                            500000      450000      12684
OF1LJL                                             20000       18000       0
OF1LJL1                                            20000       18000       2181
OF2LJB01                                           100000      90000       300565
OF2LJB02                                           200000      180000      66419
OF2LJL01                                           20000       18000       8
OF2LJL02                                           200000      150000      33245
OF3001                                             20000       18000       0
OF4001                                             20000       18000       0
OF40011                                            200000      150000      337
OF4201                                             20000       18000       0
OF4301                                             20000       18000       0
OF4801                                             20000       18000       0
OF4802                                             20000       18000       0
OF500B                                             200000      180000      60811
OF500L                                             200000      180000      56789
OF500T01                                           20000       18000       0
OF500T02                                           20000       18000       0
OF501                                              20000       18000       0
OF502                                              20000       18000       0
OF503                                              20000       18000       0
OF57001                                            20000       18000       135599
OF57002                                            20000       18000       0
OF57003                                            20000       18000       0
OF5LBB01                                           20000       18000       0
OF5LBH01                                           20000       18000       320
OF5LBL01                                           20000       18000       1
OF5LSQB1                                           100000      90000       317216
OF5LSQH1                                           100000      90000       167031
OF5LSQL1                                           20000       18000       305866
OF9LB01                                            20000       18000       10789
OF9LB02                                            200000      180000      0
OF9LH01                                            20000       18000       3464
OF9LH02                                            20000       18000       0
OF9LJ01                                            20000       18000       0
OF9LL01                                            500000      480000      9882
OFBA001                                            200000      180000      0
OFBA002                                            200000      180000      0
OFBB001                                            4000000     3900000     3927978
OFBB002                                            500000      500000      4035024
OFBB003                                            200000      180000      1010946
OFBB004                                            200000      180000      1025973
OFBB01                                             200000      180000      237317
OFBB02                                             20000       18000       238660
OFBBL                                              20000       18000       1
OFBLL                                              20000       18000       0
OFBOT001                                           20000       18000       0
OFBOT002                                           20000       18000       0
OFBOT003                                           20000       18000       0
OFBOW01                                            20000       18000       0
OFBOW03                                            20000       18000       0
OFCERB00                                           20000       18000       54656
OFCERB01                                           20000       18000       0
OFCERB02                                           20000       18000       0
OFCERB03                                           20000       18000       37915
OFCERL01                                           200000      180000      71646
OFCERL02                                           20000       18000       80482
OFCHOP01                                           500000      450000      1214
OFDB01                                             20000       18000       0
OFDB02                                             20000       18000       1
OFDEC01                                            20000       18000       77150
OFDEC011                                           200000      180000      100419
OFDEC012                                           500000      450000      81630
OFDEC013                                           500000      450000      4632
OFDEC014                                           20000       18000       6550
OFDEC015                                           20000       18000       5977
OFDEC02                                            200000      180000      261931
OFDEC021                                           500000      450000      14663
OFDEC03                                            20000       18000       3693
OFDES01                                            20000       18000       0
OFDES02                                            20000       18000       22
OFDIS01                                            20000       18000       200189
OFDISH02                                           20000       18000       0
OFDISH03                                           20000       18000       0
OFDISH04                                           20000       18000       459
OFDPS001                                           20000       18000       0
OFDUS01                                            20000       18000       63572
OFFB01                                             20000       18000       7125
OFFB02                                             20000       18000       8050
OFFL01                                             20000       18000       8913
OFFL02                                             20000       18000       3186
OFHAN01                                            20000       18000       167378
OFJBC01                                            200000      180000      23084
OFJBO1                                             200000      180000      52803
OFLAU01                                            200000      180000      11118
OFLB01                                             200000      180000      878
OFLB02                                             200000      180000      123
OFLB03                                             200000      180000      0
OFLBB                                              200000      180000      256352
OFLBB001                                           1000000     90000       3775900
OFLBB1                                             500000      450000      14219
OFLBB2                                             200000      180000      7014
OFLBH02                                            200000      180000      59299
OFLBJ1                                             200000      180000      4368
OFLBL                                              200000      180000      229288
OFLBL001                                           500000      480000      1644588
OFLBL1                                             200000      180000      25818
OFLBL2                                             200000      180000      12016
OFLBTSB                                            200000      180000      6795
OFLBTSL                                            200000      180000      11472
OFLEO001                                           100000      90000       492350
OFLEO002                                           100000      90000       502908
OFLEO003                                           100000      90000       120498
OFLEO004                                           200000      150000      133759
OFLEO005                                           200000      180000      126446
OFLEO006                                           200000      180000      134294
OFLH01                                             200000      180000      457428
OFLH02                                             100000      90000       180376
OFLH03                                             200000      180000      115602
OFLHB1                                             200000      180000      2637
OFMIX01                                            20000       18000       6886
OFMIX02                                            500000      450000      625219
OFMM001                                            20000       18000       65384
OFMM0011                                           20000       18000       63707
OFMM002                                            500000      480000      22300
OFMM0021                                           500000      480000      9112
OFMM003                                            20000       18000       90721
OFMM0030                                           200000      180000      24530
OFMM0031                                           20000       18000       103708
OFMSBL                                             20000       18000       8912
OFMSBM                                             200000      180000      13201
OFMSBM01                                           20000       18000       44845
OFMSBS                                             200000      180000      249593
OFMSLL                                             20000       18000       9439
OFMSLM                                             20000       18000       9404
OFMSLM01                                           200000      180000      41917
OFMSLS                                             20000       18000       249003
OFMUG1                                             20000       18000       52956
OFO751                                             20000       18000       0
OFPEN01                                            20000       18000       64
OFPL01                                             20000       18000       2163574
OFSA001                                            20000       18000       6880
OFSA002                                            20000       18000       8968
OFSB00                                             20000       18000       7409
OFSB01                                             500000      450000      7332
OFSBB01                                            200000      180000      151429
OFSBB02                                            20000       18000       35310
OFSBB03                                            500000      480000      12577
OFSBB04                                            20000       18000       33346
OFSBB05                                            20000       18000       14439
OFSBB10                                            200000      180000      4043
OFSBH01                                            20000       18000       18690
OFSBH02                                            20000       18000       32464
OFSBL01                                            20000       18000       43947
OFSBL02                                            20000       18000       39028
OFSBL03                                            500000      480000      12826
OFSBL10                                            200000      180000      3633
OFSBW01                                            20000       18000       35658
OFSFB01                                            20000       18000       0
OFSFL01                                            20000       18000       0
OFSP001                                            20000       18000       13797
OFSP002                                            200000      180000      111053
OFSP0021                                           20000       18000       102446
OFSP0022                                           20000       18000       70271
OFSPI01                                            100000      90000       371153
OFSPI02                                            200000      180000      2151971
OFSPI03                                            200000      180000      2148624
OFSSB01                                            20000       18000       22186
OFSSB02                                            20000       18000       23726
OFSSB03                                            20000       18000       23122
OFSSL01                                            500000      450000      28869
OFSSL02                                            20000       18000       28562
OFSSL03                                            20000       18000       26959
OFTB01                                             480000      500000      24278
OFTB03                                             20000       18000       1849
OFTB04                                             20000       18000       2612
OFTCB01                                            20000       18000       2672
OFTCSL01                                           20000       18000       7488
OFTL01                                             500000      480000      19985
OFTL04                                             20000       18000       0
OFTR01                                             20000       18000       94811
OFTUB1                                             200000      180000      54876
OFTUM01                                            200000      180000      34871
OFVE001                                            20000       18000       46194
OFVEG01                                            20000       18000       102642
OFVEG02                                            20000       18000       128984
OFVEG021                                           500000      450000      58244
OFVEG03                                            200000      180000      95389
OFVEG04                                            20000       18000       325572
OFVEG041                                           20000       18000       0
OFVEG042                                           20000       18000       0
OFVEG043                                           20000       18000       0
OFVEG05                                            100000      90000       78938
OGUT01                                             20000       18000       0
OJ4P01                                             20000       18000       0
OJDUM01                                            200000      180000      8252
OJFR001                                            20000       18000       0
OJFR002                                            20000       18000       0
OJR501                                             200000      180000      203731
OMFRUN                                             200000      180000      30739
OMHRUN01                                           20000       18000       0
OSSC01                                             20000       18000       0
PAL0002                                            20000       18000       0
PAL0003                                            20000       18000       0
POS001                                             480000      500000      21673
POS002                                             480000      500000      30342
POS003                                             500000      480000      32808
SPEC01                                             20000       18000       106541
SPEC02                                             200000      180000      91166
