//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight        itemCost
OFTL01                                                                                               Fussy 300ml Tubster Lid                            0             NULL
OF3001                                                                                               Fussy 30L Oval tub Virgin                          0             NULL
OFJBO1                                                                                               Fussy 350ml Juice Bottle Only                      0             NULL
OFMUG1                                                                                               Fussy 350ml Mugs                                   0             0,6865
OFLEO005                                                                                             Fussy 4.0L Leo Bowl Base                           NULL          NULL
OFLEO006                                                                                             Fussy 4.0L Leo Bowl Lid                            NULL          NULL
OF40011                                                                                              Fussy 40cm Basin NEW                               NULL          NULL
OF4001                                                                                               Fussy 40cm Basins                                  0             NULL
OF4201                                                                                               Fussy 42cm Fancy Handle Basin                      0             NULL
OF4301                                                                                               Fussy 43cm Basins                                  0             NULL
OF4801                                                                                               Fussy 48cm Basins                                  0             NULL
OF4802                                                                                               Fussy 48cm Basins Black                            0             NULL
OF500B                                                                                               Fussy 500ml Mini Base                              0             NULL
OFSP001                                                                                              Fussy 500ml Sports Bottle                          0             NULL
OF500T01                                                                                             Fussy 500ml Tub Base                               0             NULL
OF500T02                                                                                             Fussy 500ml Tub Lid                                0             NULL
OF502                                                                                                Fussy 50L Oval Tub Black                           0             NULL
OF503                                                                                                Fussy 50L Oval Tub Offspec Colors                  0             NULL
OF501                                                                                                Fussy 50L Oval tub Virgin                          0             NULL
OF57002                                                                                              Fussy 57cm Basins Black                            660           NULL
OF57001                                                                                              Fussy 57cm Basins Colors                           0             0,00
OF57003                                                                                              Fussy 58cm Plain Basin Color                       0             NULL
OF5LBH01                                                                                             Fussy 5L  Handle                                   0             NULL
OF5LBL01                                                                                             Fussy 5L  Lid                                      0             0,8379
OF5LSQB1                                                                                             Fussy 5L Square Bucket Base                        0             3,5112
OF5LSQH1                                                                                             Fussy 5L Square Bucket Handle                      0             NULL
OF5LSQL1                                                                                             Fussy 5L Square Bucket Lid                         0             0,8379
O5LSB01                                                                                              Fussy 5L Stripe  Bucket                            NULL          NULL
O5LSBH01                                                                                             Fussy 5L Stripe Bucket Handle                      NULL          NULL
O5LSBL01                                                                                             Fussy 5L Stripe Bucket Lid                         NULL          NULL
OF5LBB01                                                                                             Fussy 5L Tamper Bucket Base                        0             NULL
OFLEO001                                                                                             Fussy 6.5L Leo Bowl Base                           174           3,1188
OFLEO002                                                                                             Fussy 6.5L Leo Bowl Lid                            134           2,70
OFFB01                                                                                               Fussy 750ml Food Storer Base                       0             NULL
OFFL01                                                                                               Fussy 750ml Food Storer Lid                        0             NULL
OF9LL01                                                                                              Fussy 9L Bucket Lid                                0             NULL
OF9LB01                                                                                              Fussy 9L Bucket Only                               0             NULL
OF9LH01                                                                                              Fussy 9L Handle                                    0             NULL
OF9LJ01                                                                                              Fussy 9L Jumbo Storer Base                         0             NULL
OF9LH02                                                                                              Fussy 9L Metal Handle                              0             NULL
OF9LB02                                                                                              Fussy 9L Stripe Bucket Only (INDIA)                0             NULL
OFBA002                                                                                              Fussy Basket Handle                                0             NULL
OFBBL                                                                                                Fussy Biscuit Barrel Base Large                    0             NULL
OFBB001                                                                                              Fussy Biscuit Barrel Base Midi                     86            1,72
OFBLL                                                                                                Fussy Biscuit Barrel Lid Large                     0             NULL
OFBB002                                                                                              Fussy Biscuit Barrel Lid Midi                      0             NULL
OFBB003                                                                                              Fussy Biscuit Barrel Mini Base                     NULL          NULL
OFBB004                                                                                              Fussy Biscuit Barrel Mini Lid                      NULL          NULL
OFLH02                                                                                               Fussy Bottle Hinged Lunch Box Base                 0             NULL
OFBB01                                                                                               Fussy Bread Box Base                               200           3,7121
OFBB02                                                                                               Fussy Bread Box Top                                239           4,78
OFCERB03                                                                                             Fussy Cereal Base Large                            0             NULL
OFCERB02                                                                                             Fussy Cereal Base Medium                           0             NULL
OFCERB01                                                                                             Fussy Cereal Base Small                            0             NULL
OFCERL02                                                                                             Fussy Cereal Lid Flap                              0             NULL
OFCERL01                                                                                             Fussy Cereal Lid Main                              0             0,8778
OFDEC015                                                                                             Fussy Decor 1.4L Rectangular Base                  NULL          NULL
OFDEC013                                                                                             Fussy Decor 2.25L Rectangular Base                 NULL          NULL
OFDEC012                                                                                             Fussy Decor 2.5L Slim Base                         0             NULL
OFDEC014                                                                                             Fussy Decor 3.6L Rectangular Base                  NULL          NULL
OFDEC011                                                                                             Fussy Decor 4L Base                                0             2,76
OFDEC01                                                                                              Fussy Decor 6L Base                                0             NULL
