//Some tables have a BLOB table tied to them. In this case if the row exists increment the version and insert a new entry. If the row doesnt exist use version 1. If the row was unchanged do nothing and leave as is
//Site comes from /prisma/seed/import/config.ts
=== ProcessType ===
//For anything Process realted later it will have to use the name to link back and get the ID
name                                               Description
-------------------------------------------------- ----------------------------------------------------------------------------------------------------
ALL                                                All
ASSY                                               Full Assembly
BLANK                                              BLANK
CNC                                                CNC
MET                                                Metallization
MOLD                                               Molding
N/A                                                N/A
PAINT                                              Paint
SUBASSY                                            Sub Assembly

(9 rows affected)

=== Product ===
//For anything Part realted later it will have to use the name to link back and get the ID
sku                                                                                                  Name                                               weight
Custom Window Corner Cleat                         RM30                                              3,57          gm
Tidy 1.2 L Step Lunch Box Base                    RM20                                             65            gm
Tidy 1.2 L Stepped Lunch Box Lid                  RM33                                                100           gm
Tidy 1.5 L Side Jug Lid                           RM20                                             NULL          NULL
Tidy 1.5L Side Jug Only                           RM33                                                114           gm
Tidy 1000ml Tubster Base                          RM37                                                85            gm
Tidy 10L Leo Bowl Base                            RM31                                                266           gm
Tidy 10L Leo Bowl Base                            RM33                                                266           gm
Tidy 10L Leo Bowl Base                            RM34                                                268           gm
Tidy 10L Leo Bowl Base                            RM37                                                257           gm
Tidy 10L Leo Bowl Lid                             RM31                                                164           gm
Tidy 10L Leo Bowl Lid                             RM34                                                162           gm
Tidy 10L Leo Bowl Lid                             RM36                                                164           gm
Tidy 10L Leo Bowl Lid                             RM37                                                164           gm
Tidy 10L Stripe Bucket Base                       RM37                                                249           gm
Tidy 10L Stripe Bucket Handle                     RM37                                                35            gm
Tidy 10L Stripe Bucket Lid                        RM37                                                95            gm
Tidy 1500ml Food Storer Base                      RM33                                                80            gm
Tidy 1L Jug Only Natural                          RM33                                                66            gm
Tidy 1L Jug Only Natural                          RM34                                                70            gm
Tidy 1L Lunch Box Base                            RM31                                                60            gm
Tidy 1L Lunch Box Base                            RM33                                                56            gm
Tidy 1L Lunch Box Base                            RM34                                                55            gm
Tidy 1L Lunch Box Base                            RM37                                                53            gm
Tidy 1L Lunch Box Lid                             RM15                                                37            gm
Tidy 20L Stripe Bucket Base                       RM34                                                486           gm
Tidy 20L Stripe Bucket Handle                     RM37                                                55            gm
Tidy 20L Stripe Bucket Lid                        RM34                                                108,5         gm
Tidy 2250ml Tubster Base                          RM33                                                122           gm
Tidy 24cm Mixing Bowl                             RM29                                              91            gm
Tidy 28cm Mixing Bowl                             RM29                                              130           gm
Tidy 28cm Mixing Bowl                             RM33                                                126,5         gm
Tidy 28cm Mixing Bowl                             RM34                                                127           gm
Tidy 2L Fancy Jug Base                            RM29                                              113           gm
Tidy 2L Fancy Jug Base                            RM31                                                113           gm
Tidy 2L Fancy Jug Base                            RM36                                                108           gm
Tidy 2L Fancy Jug Lid                             RM36                                                23            gm
Tidy 2L Jug Only Natural                          RM33                                                126,4         gm
Tidy 300ml Sports Bottle Cap                      RM08                                              10,5          gm
Tidy 300ml Sports Bottle Round                    RM07                                             28            gm
Tidy 300ml Sports Bottle Spout                    RM15                                                2             gm
Tidy 300ml Tubster Base                           RM37                                                24            gm
Tidy 300ml Tubster Lid                            RM15                                                12,81         gm
Tidy 350ml Juice Bottle Only                      RM07                                             27            gm
Tidy 350ml Mugs                                   RM33                                                41,5          gm
Tidy 4.0L Leo Bowl Base                           RM34                                                142           gm
Tidy 4.0L Leo Bowl Base                           RM37                                                132           gm
Tidy 4.0L Leo Bowl Lid                            RM33                                                98            gm
Tidy 4.0L Leo Bowl Lid                            RM34                                                99            gm
Tidy 4.0L Leo Bowl Lid                            RM37                                                98            gm
Tidy 40cm Basin NEW                               RM34                                                270           gm
Tidy 500ml Mini Base                              RM34                                                33            gm
Tidy 500ml Mini Base                              RM37                                                33            gm
Tidy 57cm Basins Colors                           RM29                                              650           gm
Tidy 5L  Lid                                      RM35                                                42            gm
Tidy 5L  Lid                                      RM37                                                42            gm
Tidy 5L Square Bucket Base                        RM35                                                176           gm
Tidy 5L Square Bucket Handle                      RM35                                                9             gm
Tidy 5L Square Bucket Handle                      RM38                                                9             gm
Tidy 5L Square Bucket Lid                         RM22                                             42            gm
Tidy 5L Square Bucket Lid                         RM35                                                44            gm
Tidy 5L Square Bucket Lid                         RM38                                                42            gm
Tidy 5L Stripe  Bucket                            RM37                                                151,5         gm
Tidy 5L Stripe Bucket Handle                      RM37                                                23,5          gm
Tidy 5L Stripe Bucket Lid                         RM37                                                52            gm
Tidy 6.5L Leo Bowl Base                           RM29                                              165           gm
Tidy 6.5L Leo Bowl Base                           RM34                                                158           gm
Tidy 6.5L Leo Bowl Base                           RM36                                                184           gm
Tidy 6.5L Leo Bowl Base                           RM37                                                170,65        gm
Tidy 6.5L Leo Bowl Lid                            RM29                                              131           gm
Tidy 6.5L Leo Bowl Lid                            RM33                                                132           gm
Tidy 6.5L Leo Bowl Lid                            RM34                                                126           gm
Tidy 6.5L Leo Bowl Lid                            RM36                                                135           gm
Tidy 6.5L Leo Bowl Lid                            RM37                                                132,66        gm
Tidy 750ml Food Storer Base                       RM33                                                45            gm
Tidy 750ml Food Storer Base                       RM37                                                45            gm
Tidy 750ml Food Storer Lid                        RM15                                                27            gm
Tidy 9L Bucket Lid                                RM35                                                79            gm
Tidy 9L Bucket Only                               RM35                                                228           gm
Tidy 9L Handle                                    RM35                                                21            gm
Tidy Biscuit Barrel Base Midi                     RM31                                                86            gm
Tidy Biscuit Barrel Base Midi                     RM36                                                86            gm
Tidy Biscuit Barrel Base Midi                     RM37                                                78,62         gm
Tidy Biscuit Barrel Lid Midi                      RM31                                                44            gm
Tidy Biscuit Barrel Lid Midi                      RM36                                                46            gm
Tidy Biscuit Barrel Lid Midi                      RM37                                                41            gm
Tidy Biscuit Barrel Mini Base                     RM37                                                52            gm
Tidy Biscuit Barrel Mini Lid                      RM36                                                28            gm
Tidy Biscuit Barrel Mini Lid                      RM37                                                31,5          gm
Tidy Bottle Hinged Lunch Box Base                 RM33                                                166           gm
Tidy Bread Box Base                               RM33                                                204           gm
Tidy Bread Box Top                                RM31                                                239           gm
Tidy Bread Box Top                                RM36                                                239           gm
Tidy Bread Box Top                                RM37                                                245           gm
Tidy Cereal Base Large                            RM37                                                166,6         gm
Tidy Cereal Base Medium                           RM37                                                104           gm
Tidy Cereal Base Small                            RM37                                                84,5          gm
Tidy Cereal Lid Flap                              RM33                                                12,5          gm
Tidy Cereal Lid Flap                              RM37                                                13,5          gm
Tidy Cereal Lid Main                              RM35                                                44            gm
Tidy Cereal Lid Main                              RM37                                                44            gm
Tidy Decor 2.5L Slim Base                         RM37                                                105,5         gm
Tidy Decor 4L Base                                RM37                                                134           gm
Tidy Decor 6L Base                                RM37                                                213,5         gm
Tidy Decor 6L Inner Server                        RM35                                                83            gm
Tidy Decor 6L Lid                                 RM37                                                100,5         gm
Tidy Decore 1L Bottle                             RM07                                             80            gm
Tidy Deep Plates                                  RM20                                             69            gm
Tidy Deep Plates                                  RM29                                              67,5          gm
Tidy Deep Plates                                  RM33                                                65            gm
Tidy Deep Plates                                  RM34                                                65            gm
Tidy Dessert Spoons 24                            RM05                                             55            gm
Tidy Dessert Spoons 24                            RM35                                                55            gm
Tidy Dishrack                                     RM35                                                564           gm
Tidy Dishrack                                     RM38                                                560           gm
Tidy Dustpan Large                                RM20                                             140           gm
Tidy Dustpan Large                                RM37                                                140           gm
Tidy Hangers                                      RM33                                                33,5          gm
Tidy Hinge Lunch Box                              RM33                                                103           gm
Tidy Hinge Lunch Box                              RM34                                                104           gm
Tidy Hinge Lunch Box                              RM36                                                105           gm
Tidy Juice Bottle Cap Only                        RM06                                             2             gm
Tidy Juice Bottle Cap Only                        RM35                                                2             gm
Tidy Jumbo Lunch Box                              RM37                                                130,5         gm
Tidy Laundry Basket                               RM35                                                414           gm
Tidy Linen Basket Base                            RM35                                                1656          gm
Tidy Linen Basket Handle                          RM34                                                24            gm
Tidy Linen Basket Lid                             RM34                                                284           gm
Tidy Mini Hinged Lunch Box                        RM34                                                76            gm
Tidy Mini Hinged Lunch Box                        RM35                                                76            gm
Tidy Mini Lid                                     RM15                                                20            gm
Tidy Mini Oval Tub                                RM29                                              318           gm
Tidy Mini Oval Tub                                RM33                                                320           gm
Tidy Mini Oval Tub                                RM34                                                324           gm
Tidy Multi Storer Base Large                      RM35                                                211           gm
Tidy Multi Storer Base Medium                     RM35                                                165           gm
Tidy Multi Storer Base Mini                       RM37                                                33            gm
Tidy Multi Storer Base Small                      RM35                                                118           gm
Tidy Multi Storer Base Small                      RM36                                                120           gm
Tidy Multi Storer Base Small                      RM39                                                120           gm
Tidy Multi Storer Lid Large                       RM37                                                181           gm
Tidy Multi Storer Lid Medium                      RM37                                                101,5         gm
Tidy Multi Storer Lid Mini                        RM37                                                32            gm
Tidy Multi Storer Lid Small                       RM31                                                90            gm
Tidy Multi Storer Lid Small                       RM36                                                90            gm
Tidy Multi Storer Lid Small                       RM37                                                91            gm
Tidy New Big Hinge Clip                           RM33                                                8             gm
Tidy New Mini Lunch Base                          RM33                                                58            gm
Tidy New Mini Lunch Lid                           RM37                                                30            gm
Tidy New Spice Base                               RM33                                                35,75         gm
Tidy New Spice Base                               RM35                                                40            gm
Tidy New Spice Base                               RM36                                                40            gm
Tidy New Spice Lid                                RM33                                                23,25         gm
Tidy New Spice Lid                                RM34                                                22,75         gm
Tidy New Spice Lid                                RM35                                                25            gm
Tidy New Spice Lid                                RM36                                                23            gm
Tidy Oval  Veg Rack                               RM29                                              189,5         gm
Tidy Oval  Veg Rack                               RM34                                                186           gm
Tidy Oval Trays                                   RM35                                                247           gm
Tidy Oval Trays                                   RM38                                                266,5         gm
Tidy Salad Bowl Base                              RM33                                                289           gm
Tidy Salad Bowl Lid                               RM33                                                159           gm
Tidy Shoe Bix Lid                                 RM37                                                87            gm
Tidy Shoe Box Base                                RM37                                                190           gm
Tidy Slim Hinged Lunch Box Base                   RM31                                                102           gm
Tidy Slim Hinged Lunch Box Base                   RM36                                                92            gm
Tidy Slim Hinged Lunch Box Base                   RM37                                                95,5          gm
Tidy Snack Box Base                               RM33                                                83,27         gm
Tidy Snack Box Lid                                RM15                                                43            gm
Tidy Space Saver Base 1000ml                      RM37                                                44            gm
Tidy Space Saver Lid 1000ml                       RM36                                                30            gm
Tidy Spice Bowl & Lid                             RM35                                                64            gm
Tidy Storage Box Base 1.2L                        RM37                                                86            gm
Tidy Storage Box Base 1.7L                        RM37                                                83,3          gm
Tidy Storage Box Base 1.9L                        RM37                                                86            gm
Tidy Storage Box Base 30L                         RM37                                                1077          gm
Tidy Storage Box Base 50L                         RM37                                                1546          gm
Tidy Storage Box Handles 1.2L/1.7L/1.9L           RM29                                              4,375         gm
Tidy Storage Box Handles 1.2L/1.7L/1.9L           RM33                                                4,5           gm
Tidy Storage Box Handles 1.2L/1.7L/1.9L           RM37                                                4             gm
Tidy Storage Box Handles 30/50L                   RM33                                                11            gm
Tidy Storage Box Lid 1.2/1.9L                     RM37                                                25,6          gm
Tidy Storage Box Lid 1.7L                         RM37                                                43            gm
Tidy Storage Box Lid 30/50L                       RM37                                                472           gm
Tidy Storage Box Wheels 30/50L                    RM33                                                4             gm
Tidy Storage Box Wheels 30/50L                    RM36                                                4,1           gm
Tidy Super Storer Base Large                      RM37                                                149           gm
Tidy Super Storer Base Medium                     RM31                                                99            gm
Tidy Super Storer Base Medium                     RM37                                                93,5          gm
Tidy Super Storer Base Small                      RM37                                                57            gm
Tidy Super Storer Lid Large                       RM15                                                74            gm
Tidy Super Storer Lid Medium                      RM15                                                56            gm
Tidy Super Storer Lid Small                       RM15                                                43,6          gm
Tidy T/C/S Base                                   RM33                                                64            gm
Tidy T/C/S Base                                   RM36                                                64            gm
Tidy T/C/S Lid                                    RM33                                                26            gm
Tidy Tumblers                                     RM33                                                20            gm
Tidy Twin Slice Lunch Box Base                    RM37                                                35            gm
Tidy Twin Slice Lunch Box Lid                     RM37                                                28,26         gm
Tidy Veg Rack Black Tubes                         RM09                                              13            gm
Tidy Veg Rack Black Tubes                         RM29                                              13            gm
Tidy Veg Rack Black Tubes                         RM33                                                13            gm
Tidy Veg Rack Long Tubes                          RM33                                                37            gm
Tidy Veg Rack NEW Long Tubes                      RM29                                              32,88         gm
Tidy Veg Rack NEW Long Tubes                      RM34                                                33            gm
Tidy Veg Rack Sqaure                              RM29                                              371           gm
Tidy Veg Rack Sqaure                              RM33                                                369           gm
Tidy Veg Rack Sqaure                              RM34                                                370           gm
Tidy Veg Rack Tops (8cav)                         RM29                                              36            gm
Tidy Veg Rack Tops (8cav)                         RM33                                                36            gm
Tidy Veg Rack Tops (8cav)                         RM34                                                36            gm
Internal Airvents                                  RM35                                                40,5          gm
Jet Dumbell Runners 20/shot                        RM06                                             17            gm
Jet R5 Hooks 24/shot                               RM03                                              20            gm
Atlas 220L Drum Lid - SENTINEL                     RM41                                           1535          gm
Solo C Runners                                     RM06                                             24            gm
Snack Pal Base 1500ml                             RM36                                                58            gm
Snack Pal Base 1500ml                             RM37                                                54,12         gm
Snack Pal Base 500ml                              RM36                                                24            gm
Snack Pal Base 500ml                              RM37                                                24            gm
Snack Pal Base 800ml                              RM37                                                36            gm
Snack Pal Division Base 1500ml                    RM36                                                61            gm
Snack Pal Lid 1500ml                              RM33                                                38            gm
Snack Pal Lid 500ml                               RM37                                                14,97         gm
Snack Pal Lid 800ml                               RM37                                                23            gm
Nylon Bush - Colton                                RM16                                             53            gm
POSTER FRAME                                       RM38                                                567           gm
POSTER FRAME BACK CLIPS (10CAV)                    RM03                                              41            gm
POSTER SIDE CLIPS (SET OF 5)                       RM38                                                74            gm
Cova Base - Crystal Styrene                        RM05                                             63,5          gm
Cova Base - Crystal Styrene                        RM33                                                52            gm
Cova Lid - Crystal Styrene                         RM23                                             31            gm
Cova Lid - Crystal Styrene                         RM37                                                31            gm
Radiance 2L Square Base                            RM36                                                74            gm
Radiance 2L Square Base                            RM37                                                76,4          gm
Radianc 2L Square Lid                              RM36                                                72,7          gm
Radianc 2L Square Lid                              RM37                                                72,7          gm
Radianc 2L Square Lid                              RM42                                               72,7          gm
Unifresh Caddy                                     RM33                                                59            gm

(262 rows affected)

=== Workcenter ===
//For anything Workcenter realted later it will have to use the name to link back and get the ID
name                                               Process                                            Description
-------------------------------------------------- -------------------------------------------------- --------------------------------------------------
MOLD                                               MOLD                                               MOLD

(1 row affected)

=== Station ===
//For anything Station realted later it will have to use the name to link back and get the ID
name                                               standardCycle currentJob                                         slowDetect    downtimeDetect inLineCalculations ProcessType
-------------------------------------------------- ------------- -------------------------------------------------- ------------- -------------- ------------------ --------------------------------------------------
STN-01                                             17            WK233                                            0,1           600            1                  MOLD
STN-02                                             20            WK139                                             0,1           600            1                  MOLD
STN-03                                               18            WK145                                           0,1           600            1                  MOLD
STN-04                                              18            TRIAL                                              0,1           600            0                  MOLD
STN-05                                            40            TRIAL                                              0,1           600            0                  MOLD
STN-06                                            NULL          WK171                                           0,1           600            0                  MOLD
STN-07                                              20            WK098                                            0,1           600            1                  MOLD
STN-08                                              20            WK186                                             0,1           600            1                  MOLD
STN-09                                              30            WK234                                            0,1           600            1                  MOLD
STN-10                                              40            WK046                                           0,1           600            1                  MOLD
STN-11                                             19            WK167                                            0,1           600            1                  MOLD
STN-12                                            NULL          MOLD1                                              0,1           600            0                  MOLD
STN-13                                             18            WK151                                           0,1           600            1                  MOLD
STN-14                                             22            WK074                                            0,1           600            1                  MOLD
STN-15                                             16            WK075                                            0,1           600            1                  MOLD
STN-16                                             25            WK090                                            0,1           600            1                  MOLD
STN-17                                             20            WK095                                            0,1           600            1                  MOLD
STN-18                                             18            WK144                                            0,1           600            1                  MOLD
STN-19                                             30            WK226                                            0,1           600            1                  MOLD
STN-20                                             14            WK219                                            0,1           600            1                  MOLD
STN-21                                             24            WK120                                            0,1           600            1                  MOLD
STN-22                                             20            WK123                                            0,1           600            1                  MOLD
STN-23                                             17            WK115                                            0,1           600            1                  MOLD
STN-24                                             28            WK175                                            0,1           600            1                  MOLD
STN-25                                             30            WK176                                            0,1           600            1                  MOLD
STN-26                                             18            WK182                                            0,1           600            1                  MOLD
STN-27                                             12            WK168                                            0,1           600            1                  MOLD
STN-28                                             15            WK169                                            0,1           600            1                  MOLD
STN-29                                             22            WK213                                            0,1           600            1                  MOLD
STN-30                                             20            WK214                                            0,1           600            1                  MOLD
STN-31                                             18            WK215                                            0,1           600            1                  MOLD
STN-32                                             45            WK127                                            0,1           600            1                  MOLD
STN-33                                             26            WK132                                            0,1           600            1                  MOLD
STN-34                                             16            WK137                                            0,1           600            1                  MOLD
STN-35                                             20            WK138                                            0,1           600            1                  MOLD
STN-36                                             35            WK163                                            0,1           600            1                  MOLD
STN-37                                             18            WK162                                            0,1           600            1                  MOLD
STN-38                                             21            WK156                                            0,1           600            1                  MOLD
STN-39                                             24            WK157                                            0,1           600            1                  MOLD
STN-40                                             29            WK158                                            0,1           600            1                  MOLD
STN-41                                             21            WK159                                            0,1           600            1                  MOLD
STN-42                                             23            WK087                                            0,1           600            1                  MOLD
STN-43                                             16            WK088                                            0,1           600            1                  MOLD
STN-44                                             12            WK089                                            0,1           600            1                  MOLD
STN-45                                             34            WK227                                            0,1           600            1                  MOLD
STN-46                                             10            WK228                                            0,1           600            1                  MOLD
STN-47                                             40            WK140                                            0,1           600            1                  MOLD
STN-48                                             17            WK210                                            0,1           600            1                  MOLD
STN-49                                             10            WK211                                            0,1           600            1                  MOLD
STN-50                                             12            WK212                                            0,1           600            1                  MOLD

(50 rows affected)

=== Tool ===
//For anything Tool realted later it will have to use the name to link back and get the ID
Name                                               pmLimit     pmWarn      pmCount
-------------------------------------------------- ----------- ----------- -----------
WK001                                             20000       18000       0
WK002                                            20000       18000       0
WK003                                            20000       18000       0
WK004                                            20000       18000       0
WK005                                           500000      480000      3349
WK006                                           20000       18000       887
WK007                                            200000      180000      1407
WK008                                            200000      180000      10743
WK009                                            200000      180000      1820
WK010                                            200000      180000      33845
WK011                                            200000      180000      739463
WK012                                             20000       18000       13548
WK013                                             20000       18000       1935
WK014                                            500000      450000      94021
WK015                                            500000      480000      8940
WK016                                            500000      480000      4350
WK017                                           200000      180000      9506
WK018                                           500000      480000      7971
WK019                                            500000      500000      222174
WK020                                            500000      500000      21640
WK021                                            200000      180000      35455
WK022                                            200000      180000      6417
WK023                                             200000      180000      47516
WK024                                             200000      180000      46056
WK026                                            200000      180000      13188
WK027                                             200000      180000      23525
WK028                                           200000      180000      757372
WK029                                           480000      500000      283099
WK030                                           480000      500000      133899
WK031                                              20000       18000       2
WK032                                              20000       18000       0
WK033                                             20000       18000       0
WK034                                            100000      95000       67012
WK035                                             20000       18000       11
WK036                                             20000       18000       9554
WK037                                             20000       18000       0
WK038                                           20000       18000       2
WK039                                           20000       18000       0
WK040                                           20000       18000       0
WK041                                           20000       18000       10469
WK042                                           20000       18000       0
NO MOLD                                            0           0           0
WK043                                           20000       18000       19139
WK044                                          20000       18000       9608
WK045                                          200000      180000      11513
WK046                                           200000      180000      23570
WK047                                           20000       18000       13271
WK048                                           20000       18000       20293
WK049                                            200000      180000      18353
WK050                                           20000       18000       11718
WK051                                           200000      180000      15978
WK052                                            20000       18000       0
WK053                                           20000       18000       2
WK054                                           20000       18000       0
WK055                                           20000       18000       0
WK056                                           20000       18000       6
WK057                                           20000       18000       4
WK058                                           20000       18000       3
WK059                                             20000       18000       666116
WK060                                            500000      450000      12684
WK061                                             20000       18000       0
WK062                                            20000       18000       2404
WK063                                           100000      90000       279147
WK064                                           200000      180000      66419
WK065                                           20000       18000       8
WK066                                           200000      150000      33245
WK067                                             20000       18000       0
WK068                                             20000       18000       0
WK069                                            200000      150000      337
WK070                                             20000       18000       0
WK071                                             20000       18000       0
WK072                                             20000       18000       0
WK073                                             20000       18000       0
WK074                                             200000      180000      60811
WK075                                             200000      180000      56789
WK076                                           20000       18000       0
WK077                                           20000       18000       0
WK078                                              20000       18000       0
WK079                                              20000       18000       0
WK080                                              20000       18000       0
WK081                                            20000       18000       135599
WK082                                            20000       18000       0
WK083                                            20000       18000       0
WK084                                           20000       18000       0
WK085                                           20000       18000       320
WK086                                           20000       18000       1
WK087                                           100000      90000       317216
WK088                                           100000      90000       167031
WK089                                           20000       18000       305866
WK090                                            20000       18000       10789
